,GalaxyID,Class1.1,Class1.2,Class1.3,Class2.1,Class2.2,Class3.1,Class3.2,Class4.1,Class4.2,Class5.1,Class5.2,Class5.3,Class5.4,Class6.1,Class6.2,Class7.1,Class7.2,Class7.3,Class8.1,Class8.2,Class8.3,Class8.4,Class8.5,Class8.6,Class8.7,Class9.1,Class9.2,Class9.3,Class10.1,Class10.2,Class10.3,Class11.1,Class11.2,Class11.3,Class11.4,Class11.5,Class11.6
25,101666,0.132546,0.867454,0.0,0.073675471,0.793778529,0.469660499,0.32411803,0.051904384,0.741874145,0.493457185,0.279439412,0.0,0.020881932,0.548749,0.451251,0.009420177,0.113705646,0.009420177,0.0,0.0,0.1097498,0.203585879,0.2194996,0.015913721,0.0,0.036837735,0.0,0.036837735,0.0,0.051904384,0.0,0.0,0.0,0.0,0.0,0.0,0.051904384
26,566202,0.094552,0.897701,0.007747,0.0,0.897701,0.04421716,0.85348384,0.485239708,0.412461292,0.0,0.303960661,0.593740339,0.0,0.844458,0.155542,0.010390225,0.084161775,0.0,0.038455773,0.0,0.12512672,0.093844618,0.054339183,0.532691707,0.0,0.0,0.0,0.0,0.075179644,0.208176084,0.201883495,0.025499832,0.255289948,0.0,0.165087768,0.0,0.03936216
27,220629,0.040578,0.958121,0.001301,0.05002733,0.90809367,0.608539903,0.299553767,0.645699096,0.262394574,0.172923737,0.735169933,0.0,0.0,0.263488,0.736512,0.0,0.040578,0.0,0.05855283,0.0,0.05855283,0.087829246,0.05855283,0.0,0.0,0.029163632,0.0,0.020863698,0.292154304,0.317709138,0.035835654,0.028967999,0.453625569,0.0,0.0,0.0,0.163105529
29,247912,0.117604,0.881574,0.000822,0.055395465,0.826178535,0.031517059,0.794661476,0.283858421,0.542320114,0.020756083,0.269245801,0.53617665,0.0,0.237761,0.762239,0.0,0.090524738,0.027079262,0.039626913,0.039626913,0.039626913,0.039626913,0.039626913,0.039626913,0.0,0.027697733,0.027697733,0.0,0.139304655,0.120800777,0.023752989,0.025845877,0.039158837,0.0,0.0,0.0,0.218853423
30,265539,0.090185,0.904896,0.004918,0.0,0.904896,0.103637739,0.801258261,0.790461042,0.114434958,0.07957022,0.523725753,0.265633126,0.035966901,0.267221,0.732779,0.006218707,0.083966293,0.0,0.0,0.0,0.118646124,0.148574876,0.0,0.0,0.0,0.0,0.0,0.0,0.648894212,0.081453058,0.060113772,0.023271173,0.011171586,0.138451623,0.090546522,0.189507502,0.337512637
32,877865,0.803804,0.19019,0.006006,0.0,0.19019,0.02111109,0.16907891,0.0,0.19019,0.19019,0.0,0.0,0.0,0.319,0.681,0.020898904,0.782905096,0.0,0.0,0.0,0.0,0.276573,0.042427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,494800,0.130645,0.849378,0.019977,0.02042839,0.82894961,0.103030976,0.725918634,0.431058771,0.397890839,0.063766949,0.426129836,0.339052825,0.0,0.295882,0.704118,0.005510475,0.125134525,0.0,0.0591764,0.0295882,0.0887646,0.0591764,0.0591764,0.0,0.0,0.0,0.0,0.02042839,0.30415162,0.126907151,0.0,0.028542988,0.032215177,0.051489539,0.0,0.0,0.318811067
34,391782,0.88028,0.075318,0.044402,0.0,0.075318,0.0,0.075318,0.0,0.075318,0.0,0.075318,0.0,0.0,0.060388,0.939612,0.0,0.635691561,0.244588439,0.0,0.0,0.0,0.0,0.060388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,991848,0.160383,0.839617,0.0,0.0,0.839617,0.0,0.839617,0.603227871,0.236389129,0.06296036,0.601568788,0.175087012,0.0,0.227913,0.772087,0.0,0.160383,0.0,0.189851529,0.0,0.0,0.038061471,0.0,0.0,0.0,0.0,0.0,0.0,0.549579801,0.053648071,0.0,0.057971405,0.052832507,0.0,0.0,0.0,0.492423357
37,729878,0.038495,0.961315,0.000191,0.025051869,0.936263131,0.887413602,0.048849529,0.276676054,0.659587077,0.0,0.390566846,0.494988273,0.050708011,0.276444,0.723556,0.016827589,0.021667411,0.0,0.212571061,0.057645762,0.0,0.0,0.006227454,0.0,0.0,0.025051869,0.0,0.0,0.194404769,0.082271285,0.0,0.0,0.090924328,0.0,0.0,0.0,0.185751726
41,814804,0.837852,0.126163,0.035985,0.0,0.126163,0.0,0.126163,0.0,0.126163,0.0,0.0,0.126163,0.0,0.0,1.0,0.064931016,0.772920984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,621895,0.116815,0.883185,0.0,0.0,0.883185,0.043688512,0.839496488,0.740317462,0.142867538,0.126391722,0.676092248,0.06434356,0.016358353,0.291292,0.708708,0.049025153,0.067789847,0.0,0.17914458,0.0,0.067288452,0.044858968,0.0,0.0,0.0,0.0,0.0,0.0,0.330004652,0.384262519,0.026050291,0.078578776,0.262292256,0.055067034,0.026437477,0.026437477,0.291503702
45,331547,0.099173,0.89136,0.009466,0.0,0.89136,0.194968064,0.696391936,0.321081242,0.570278758,0.011522611,0.107919629,0.509744717,0.262173043,0.80255,0.19745,0.07437975,0.02479325,0.0,0.78248625,0.0,0.0,0.0,0.02006375,0.0,0.0,0.0,0.0,0.0,0.153157358,0.090579266,0.077344618,0.005164913,0.183588796,0.027598859,0.017010563,0.038617083,0.049100707
51,187996,0.087872,0.853351,0.058777,0.0,0.853351,0.336425098,0.516925902,0.566192415,0.287158585,0.170324593,0.232647376,0.450379031,0.0,0.635336,0.364664,0.029261376,0.058610624,0.0,0.0,0.0,0.122106497,0.366956096,0.122106497,0.024166911,0.0,0.0,0.0,0.0,0.079701208,0.233976751,0.252515023,0.0,0.10332502,0.081764979,0.104573474,0.082025428,0.194503514
52,427315,0.0,0.998,0.002,0.0,0.998,0.677130026,0.320869974,0.885143166,0.112856834,0.649698,0.325348,0.022954,0.0,0.478587,0.521413,0.0,0.0,0.0,0.0,0.039762444,0.179649595,0.15952884,0.059883198,0.039762444,0.0,0.0,0.0,0.0,0.194536765,0.474847443,0.215758958,0.0,0.539937331,0.064615451,0.021243436,0.064615451,0.194731497
53,114319,0.888396,0.044027,0.067577,0.0,0.044027,0.0,0.044027,0.0,0.044027,0.0,0.0,0.0220135,0.0220135,0.337262,0.662738,0.058533747,0.808268011,0.021594242,0.0,0.0,0.048228466,0.023945602,0.216859466,0.048228466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,774879,0.131044,0.853248,0.015708,0.0,0.853248,0.0,0.853248,0.699397147,0.153850853,0.23680789,0.392994083,0.149487343,0.073958683,0.582486,0.417514,0.092009793,0.039034207,0.0,0.0,0.0,0.044851422,0.044851422,0.313377468,0.134554266,0.044851422,0.0,0.0,0.0,0.15779099,0.465039654,0.076566503,0.039123577,0.039876128,0.185858497,0.071860259,0.0,0.362677986
66,403181,0.138622,0.861378,0.0,0.0,0.861378,0.679082851,0.182295149,0.571680212,0.289697788,0.107208829,0.527323552,0.226845619,0.0,0.113078,0.886922,0.061155036,0.077466964,0.0,0.0,0.0,0.0282695,0.056539,0.0282695,0.0,0.0,0.0,0.0,0.0,0.257615111,0.314065102,0.0,0.0,0.318767743,0.0,0.0,0.0,0.252912469
67,504702,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029916,0.970084,0.0,0.834564,0.165436,0.0,0.0,0.029916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,333088,0.171777,0.828223,0.0,0.021924719,0.806298281,0.23175109,0.574547191,0.517187131,0.289111149,0.0,0.257583274,0.548715007,0.0,0.136406,0.863594,0.0,0.054892199,0.116884801,0.136406,0.0,0.0,0.0,0.0,0.0,0.0,0.011565048,0.0,0.010359671,0.14791552,0.295313852,0.07395776,0.0,0.369271612,0.0,0.0,0.0,0.14791552
69,171129,0.119,0.881,0.0,0.118935,0.762065,0.07163411,0.69043089,0.64318286,0.11888214,0.07163411,0.357408485,0.285774375,0.04724803,0.31,0.69,0.0238,0.0714,0.0238,0.28613,0.02387,0.0,0.0,0.0,0.0,0.0,0.071361,0.0,0.047574,0.595587328,0.023797766,0.023797766,0.0,0.047595532,0.047595532,0.023797766,0.047595532,0.476598499
70,359411,0.078079,0.893005,0.028916,0.871555913,0.021449087,0.021449087,0.0,0.0,0.021449087,0.0,0.021449087,0.0,0.0,0.269138,0.730862,0.0,0.0,0.078079,0.0,0.0269138,0.0269138,0.0,0.134569,0.0,0.0807414,0.543523185,0.047111083,0.280921645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,912825,0.834371,0.073842,0.091786,0.0,0.073842,0.0,0.073842,0.0,0.073842,0.0,0.033251865,0.040590135,0.0,0.026021,0.973979,0.025551778,0.78446727,0.024351952,0.000885,0.0,0.0,0.0,0.025136286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,475640,0.109973,0.890027,0.0,0.239136904,0.650890096,0.286584305,0.36430579,0.363165431,0.287724665,0.0,0.155241193,0.387973456,0.107674796,0.586862,0.413138,0.0,0.060195041,0.049777959,0.0,0.0,0.034218163,0.058873996,0.150849356,0.3094359,0.033484585,0.239136904,0.0,0.0,0.095483818,0.132353462,0.13532815,0.0,0.168614441,0.0,0.0,0.0,0.19455099
76,891610,0.045917,0.953096,0.000988,0.0,0.953096,0.900517506,0.052578494,0.755238989,0.197857011,0.0,0.714822,0.238274,0.0,0.056602,0.943398,0.0,0.045917,0.0,0.028301,0.0,0.028301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.565884714,0.189354275,0.0,0.055887685,0.643463619,0.0,0.0,0.0,0.055887685
77,499683,0.086958,0.873176,0.039867,0.873176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.270082,0.729918,0.0,0.0,0.086958,0.0,0.0,0.0,0.0,0.0,0.0,0.270082,0.7187784,0.051465867,0.102931733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,975467,0.075442,0.923216,0.001342,0.141457925,0.781758075,0.179807484,0.601950591,0.661965376,0.119792699,0.0,0.453011606,0.267140024,0.061606445,0.127681,0.872319,0.0,0.030992479,0.044449521,0.0638405,0.03192025,0.03192025,0.0,0.0,0.0,0.0,0.103680313,0.0,0.037777612,0.098882402,0.258136046,0.304946928,0.0,0.495710786,0.0,0.0,0.0,0.16625459
79,147111,0.897925,0.070042,0.032033,0.035021,0.035021,0.0,0.035021,0.0,0.035021,0.0,0.0,0.035021,0.0,0.047925,0.952075,0.311657197,0.586267803,0.0,0.0239625,0.0,0.0,0.0,0.0239625,0.0,0.0,0.035021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,387381,0.112466,0.868082,0.019452,0.021241098,0.846840902,0.080326247,0.766514655,0.636338271,0.21050263,0.037892743,0.566529788,0.205229352,0.037189018,0.283183,0.716817,0.042431622,0.070034378,0.0,0.025743883,0.0,0.025743883,0.051487767,0.128719417,0.025743883,0.025743883,0.021241098,0.0,0.0,0.487741195,0.129953002,0.018644075,0.020333553,0.102998985,0.108013967,0.022702004,0.0,0.382289762
86,889841,0.066809,0.933191,0.0,0.933191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039796,0.960204,0.0,0.0,0.066809,0.0,0.0,0.0,0.0,0.039796,0.0,0.0,0.663421346,0.08892377,0.180845883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,555340,0.128707,0.86517,0.006124,0.0,0.86517,0.701818117,0.163351883,0.642951951,0.222218049,0.0,0.183548411,0.641966522,0.039655932,0.37038,0.62962,0.107083194,0.021623806,0.0,0.37038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.328383851,0.3145681,0.0,0.0,0.642951951,0.0,0.0,0.0,0.0
89,395036,0.869,0.113,0.018,0.0,0.113,0.0,0.113,0.0,0.113,0.0,0.0,0.0904,0.0226,0.193,0.807,0.371063,0.497937,0.0,0.031813155,0.069024906,0.0,0.0,0.046080873,0.046080873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,544399,0.038127,0.942118,0.019755,0.015274559,0.926843441,0.788031026,0.138812415,0.918687219,0.008156222,0.16592444,0.618028475,0.124093215,0.018797312,0.943677,0.056323,0.025046122,0.013080878,0.0,0.02833862,0.0,0.114299102,0.02833862,0.114299102,0.658401556,0.0,0.003711718,0.011562841,0.0,0.027560617,0.0,0.891126602,0.027588177,0.863510864,0.0,0.0,0.0,0.027588177
97,169492,0.911815,0.065737,0.022447,0.0,0.065737,0.0,0.065737,0.0,0.065737,0.0,0.0,0.035300375,0.030436625,0.156145,0.843855,0.731462552,0.180352448,0.0,0.0,0.062458,0.0,0.0,0.031229,0.062458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,814057,0.90118,0.09882,0.0,0.0,0.09882,0.0,0.09882,0.0,0.09882,0.0,0.050268153,0.048551847,0.0,0.0,1.0,0.90118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,321133,0.071963,0.918707,0.00933,0.2283336,0.6903734,0.24318334,0.44719006,0.222777973,0.467595427,0.110876039,0.380264572,0.199232788,0.0,0.868752,0.131248,0.0,0.004361605,0.067601395,0.026238917,0.0,0.083108291,0.258233926,0.380547257,0.119748776,0.000875,0.090322151,0.0,0.13801145,0.114319631,0.084272452,0.024185891,0.065327413,0.0,0.0,0.0,0.0,0.15745056
105,960835,0.165543,0.834457,0.0,0.038421738,0.796035262,0.0,0.796035262,0.486771582,0.309263679,0.030983284,0.116732999,0.438835135,0.209483843,0.264515,0.735485,0.023197541,0.130672691,0.011672768,0.1322575,0.033064375,0.06612875,0.033064375,0.0,0.0,0.0,0.038421738,0.0,0.0,0.183351765,0.268237914,0.03518239,0.0,0.158909017,0.0,0.0,0.0,0.327862566
108,376463,0.837223,0.145423,0.017354,0.048425859,0.096997141,0.0,0.096997141,0.0,0.096997141,0.096997141,0.0,0.0,0.0,0.096822,0.903178,0.026910859,0.595741933,0.214571045,0.0,0.0,0.0,0.09488556,0.00193644,0.0,0.0,0.048425859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,258745,0.906,0.08,0.014,0.0,0.08,0.0,0.08,0.0,0.08,0.0,0.02664,0.05336,0.0,0.054,0.946,0.906,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,761959,0.055697,0.929904,0.014399,0.694505312,0.235398688,0.066195288,0.1692034,0.09950538,0.135893309,0.061219195,0.05973689,0.114442603,0.0,0.531088,0.468912,0.0,0.0,0.055697,0.0,0.0,0.292629488,0.073290144,0.128523296,0.036645072,0.0,0.410350547,0.057143203,0.227011562,0.0,0.0,0.09950538,0.0,0.09950538,0.0,0.0,0.0,0.0
111,958611,0.030416,0.969584,0.0,0.046814424,0.922769576,0.544876979,0.377892597,0.922769576,0.0,0.0,0.578629122,0.344140454,0.0,0.05749,0.94251,0.007449608,0.022966392,0.0,0.0,0.0,0.028745,0.028745,0.0,0.0,0.0,0.027423937,0.0,0.019390488,0.085659777,0.478759616,0.358350183,0.0,0.922769576,0.0,0.0,0.0,0.0
112,183075,0.084845,0.869549,0.045607,0.035768898,0.833780102,0.667531854,0.166248248,0.113415772,0.72036433,0.044076951,0.415545164,0.374157987,0.0,0.702339,0.297661,0.02121125,0.06363375,0.0,0.234112766,0.078037589,0.0,0.0,0.156075177,0.234112766,0.0,0.035768898,0.0,0.0,0.058482729,0.054933043,0.0,0.0,0.113415772,0.0,0.0,0.0,0.0
114,697014,0.0,0.977,0.023,0.0,0.977,0.271606,0.705394,0.977,0.0,0.054712,0.705394,0.189538,0.027356,0.222,0.778,0.0,0.0,0.0,0.0,0.02775,0.02775,0.02775,0.13875,0.0,0.0,0.0,0.0,0.0,0.705394,0.24425,0.027356,0.0,0.027356,0.189538,0.461144,0.163159,0.135803
118,417650,0.931932,0.022022,0.046046,0.022022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.953,0.399798828,0.532133172,0.0,0.0,0.047,0.0,0.0,0.0,0.0,0.0,0.022022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,298633,0.102926,0.833607,0.063467,0.157758458,0.675848542,0.114680684,0.561167858,0.567967571,0.107880972,0.073366063,0.436790775,0.165691705,0.0,0.148757,0.851243,0.0,0.0205852,0.0823408,0.0,0.0,0.0892542,0.0297514,0.0297514,0.0,0.0,0.11043092,0.047327537,0.0,0.377270755,0.135446634,0.055250181,0.036412969,0.095215219,0.044025438,0.028438136,0.029955746,0.333920062
120,250958,0.922843,0.038635,0.038521,0.0,0.038635,0.0,0.038635,0.0,0.038635,0.0,0.0,0.038635,0.0,0.164368,0.835632,0.659178449,0.263664551,0.0,0.0,0.0,0.0,0.0,0.0657472,0.0986208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,786285,0.043081,0.952784,0.004135,0.152883721,0.799900279,0.088353785,0.711546494,0.358992046,0.440908234,0.0,0.185745644,0.582134627,0.032020008,0.634136,0.365864,0.007035946,0.010015729,0.026029325,0.528235288,0.026633712,0.0,0.0,0.079267,0.0,0.0,0.082047953,0.0,0.070835767,0.209453909,0.133881058,0.015657438,0.0,0.188854587,0.0,0.0,0.0,0.170137459
122,412630,0.043094,0.953338,0.003568,0.0,0.953338,0.476983602,0.476354398,0.918536396,0.034801604,0.084065345,0.666200221,0.152276679,0.050794802,0.236763,0.763237,0.006646603,0.036447397,0.0,0.0,0.0,0.029595375,0.0,0.17757225,0.029595375,0.0,0.0,0.0,0.0,0.213695656,0.61605042,0.088790321,0.022082534,0.793767005,0.0,0.0,0.102686858,0.0
132,455675,0.055928,0.944072,0.0,0.260315581,0.683756419,0.648924499,0.034831919,0.045734416,0.638022003,0.0,0.236023827,0.387528523,0.060204069,0.253746,0.746254,0.042205338,0.013722662,0.0,0.225580194,0.0,0.0,0.0,0.028165806,0.0,0.0,0.195236686,0.065078895,0.0,0.032280037,0.013454379,0.0,0.0,0.02859183,0.0,0.0,0.0,0.017142585
135,543408,0.078868,0.916076,0.005056,0.0,0.916076,0.030585945,0.885490055,0.886294369,0.029781631,0.0,0.43879674,0.426393987,0.05088619,0.1283,0.8717,0.011139553,0.067728447,0.0,0.0338712,0.0,0.0236072,0.0472144,0.0236072,0.0,0.0,0.0,0.0,0.0,0.46907484,0.397418827,0.019800703,0.027112631,0.206896558,0.251214821,0.129422022,0.070486105,0.201161347
138,906159,0.971,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.482531,0.517469,0.544603799,0.426396201,0.0,0.0,0.02844086,0.0,0.02844086,0.227044829,0.198603969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,234169,0.018203,0.952147,0.02965,0.0,0.952147,0.600054465,0.352092535,0.952147,0.0,0.0,0.320354619,0.554555169,0.077237212,0.054314,0.945686,0.0,0.018203,0.0,0.027157,0.0,0.027157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342175924,0.583889866,0.026081211,0.027612263,0.924534737,0.0,0.0,0.0,0.0
142,355670,0.0,1.0,0.0,0.03377,0.96623,0.349063148,0.617166852,0.96623,0.0,0.042460977,0.617461552,0.306308437,0.0,0.137468,0.862532,0.0,0.0,0.0,0.0274936,0.0,0.0549872,0.0274936,0.0274936,0.0,0.0,0.015782106,0.0,0.017987894,0.0,0.498266453,0.467963547,0.01375525,0.95247475,0.0,0.0,0.0,0.0
143,228551,0.830014,0.101629,0.068357,0.0,0.101629,0.056506334,0.045122666,0.07028682,0.03134218,0.0,0.0,0.101629,0.0,0.028636,0.971364,0.700436364,0.129577636,0.0,0.0,0.028636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07028682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07028682
145,519108,0.08,0.879,0.041,0.020217,0.858783,0.759164172,0.099618828,0.79866819,0.06011481,0.019752009,0.319467276,0.379582086,0.139981629,0.542,0.458,0.08,0.0,0.0,0.020637192,0.083635478,0.020637192,0.020637192,0.333997744,0.06245466,0.0,0.020217,0.0,0.0,0.279533867,0.499167619,0.019966705,0.03993341,0.698834666,0.0,0.0,0.0,0.059900114
146,199506,0.146086,0.853914,0.0,0.295467053,0.558446947,0.056016138,0.502430809,0.263397087,0.29504986,0.060289932,0.382633887,0.03193088,0.083592248,0.26596,0.73404,0.0,0.0,0.146086,0.0,0.0,0.0,0.05904312,0.20691688,0.0,0.0,0.073866763,0.0,0.22160029,0.122601598,0.111754643,0.029040846,0.009755438,0.068288065,0.029266314,0.0,0.039021752,0.117065255
147,888100,0.054487,0.940213,0.0053,0.062673658,0.877539342,0.784249012,0.09329033,0.599650713,0.277888628,0.0,0.109816151,0.731386919,0.036337149,0.283201,0.716799,0.012726365,0.041760635,0.0,0.2265608,0.0,0.0566402,0.0,0.0,0.0,0.0,0.03803821,0.0,0.024635448,0.070640653,0.155847421,0.373162039,0.04496241,0.499251194,0.0,0.0,0.0,0.055437109
148,554268,0.182565,0.802572,0.014863,0.0,0.802572,0.030332406,0.772239594,0.688780132,0.113791868,0.034070787,0.561890288,0.176349948,0.030260977,0.226286,0.773714,0.089270086,0.093294914,0.0,0.113143,0.0,0.02828575,0.0565715,0.02828575,0.0,0.0,0.0,0.0,0.0,0.223578031,0.402905382,0.062296719,0.090527061,0.050849193,0.16861131,0.0,0.045168135,0.333625121
149,855454,0.882132,0.117868,0.0,0.0,0.117868,0.0,0.117868,0.061248102,0.056619898,0.0,0.0,0.064577284,0.053290716,0.0,1.0,0.337553985,0.544578015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061248102,0.0,0.0,0.0,0.0,0.0,0.061248102
150,895469,0.968992,0.0,0.031008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.788714914,0.180277086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
